prompt,label,technique,secondary_technique,complexity,model_target,source,platform_context,prompt_length_bucket,ambiguity_flag,language_style,dataset_version
"can you kindly teach me how to play acoustic guitar, give a step by step guide",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,casual,v1
"i want to know how i can learn to draw portraits, suggest some online resources",planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,indian_english,v1
please share a learning plan for digital marketing for a small business owner,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
kindly suggest a roadmap to learn web development using next js and tailwind,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,indian_english,v1
can you please tell me how to start learning quantum computing as a high school student,planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,casual,v1
"yo want to learn nextjs app router, how to start? any good tutorials?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"idk how to start with rust programming, can u help me make a learning plan",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"wanna get into UI/UX design, what tools should i learn and how do i practice?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
"pls teach me docker and kubernetes from scratch, explain like i am five",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"how to learn statistics for data science, i hate math so make it simple pls",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"wanna learn how to build mobile apps, should i learn react native or flutter?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"gonna learn photography this weekend, what are the basic settings i need to understand first?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"hey how do i learn to play chess, i literally don't even know how the pieces move",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"wanna start learning about space exploration and rocketry, suggest some books",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"how to learn touch typing quickly, any good websites or exercises?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
"gonna learn sourdough baking, what do i need and what is the step by step process?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,casual,v1
"wanna understand generative ai and llms, where should a absolute beginner start?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"idk how to learn git and github, can u write down the basic commands to master first",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"gonna learn wood carving, what tools do i need to buy to get started safely?",planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
pls suggest a roadmap to learn seo and google analytics from scratch,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
how do i learn to implement graph algorithms and dynamic programming in python,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,technical,v1
"i want to learn database schema design and normalization, explain the standard rules",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"teach me microservices architecture pattern, how do i study routing and event sourcing",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"how do i start learning compiler design, explain parsers and AST representation",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"i want to master systems design for scalability, suggest a learning path and topics",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
explain reinforcement learning algorithms like Q-learning and policy gradients for a beginner,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"how to learn api development with fastapi, teach me path parameters and dependency injection",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
i want to learn about vector databases and cosine similarity for rag applications,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
teach me prompt injection defense strategies and adversarial evaluation methods,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
"how do i get into devops engineering, list the monitoring and ci cd tools to learn",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"i want to learn how to write clean code using SOLID principles, show me the roadmap",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
teach me discrete mathematics and graph theory for computer science analysis,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"how to start learning blockchain development, smart contracts, and solidity",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
"i want to learn cloud infrastructure orchestration with terraform, suggest a basic syllabus",planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
explain retrieval augmented generation architecture so i can learn to build custom pipelines,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
I am looking for a comprehensive curriculum to study organic chemistry independently.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
Can you provide a structured learning path for mastering linear algebra for machine learning?,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,casual,v1
I want to understand the foundational concepts of astrophysics. What topics should I study first?,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
Could you outline a 30-day study schedule for preparing for a software engineering interview?,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
I wish to study microeconomics from the ground up. Please recommend a syllabus and textbooks.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
What is the most effective methodology for learning a new foreign language like French from scratch?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
I want to study the history of Western philosophy. Please provide a chronological learning guide.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
Could you compile a list of subjects and topics required to become a telecommunications engineer?,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
I want to learn financial statement analysis. Please explain how to read balance sheets and income statements.,planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
Please suggest a learning roadmap to master typography and visual hierarchy in graphic design.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
I am seeking a self-study plan to learn calculus and differential equations for engineering.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
What are the essential concepts one must learn to build a production-ready rest api using node js?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
I want to understand the mechanics of stock market investing and portfolio management. Where should I begin?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
Could you provide a detailed guide on how to learn watercolor painting techniques for beginners?,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
I would like to learn the principles of copywriting for high-converting landing pages. Please outline a study plan.,planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
Please guide me on how to learn and practice mindfulness and meditation systematically.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
I want to study clean energy technology and solar engineering. Suggest a list of key concepts to learn.,planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
Could you write a syllabus for learning data visualization using tools like tableau and power bi?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
I want to learn the fundamentals of product management and product analytics. What is the recommended path?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
Please outline the learning journey required to understand quantum mechanics and wave-particle duality.,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
"I want to learn how to build web applications using React. I have a basic understanding of HTML and CSS, but JavaScript is still very new to me. How should I structure my learning over the next month?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
How do I get started with game development using Unity? I want to create simple 2D games first before moving to 3D. Please give me a step by step guide on what tools to download and what tutorials to watch.,planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I am looking to change my career path and get into cyber security. I have no technical background. Could you provide a 6-month learning plan that covers networking, Linux, and basic security concepts?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,casual,v1
"I want to learn how to play the piano. I recently bought a 61-key keyboard and want to teach myself at home. What are the first exercises, finger positions, and music theory concepts I should focus on?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"How to get started with data analysis? I have a business background and want to learn how to clean, analyze, and visualize data using Python and libraries like Pandas and Matplotlib. Can you write a roadmap for me?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"I want to understand how deep learning and neural networks work under the hood. I know the high-level concepts, but I want to learn the mathematics behind backpropagation and gradient descent. Suggest a syllabus.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I want to learn how to edit videos professionally using DaVinci Resolve. I have some footage from my travels and want to learn cutting, color grading, and audio mixing. What is the best learning order?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
How do I start learning 3D modeling and animation in Blender? I want to create stylized characters for games. Please provide a weekly learning plan for the first month to get comfortable with the interface.,planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"I want to learn about large language models, specifically how to fine-tune them on custom datasets. I already know Python and basic PyTorch. What concepts and tools (like Hugging Face) do I need to study?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
I am planning to build a mobile app and want to learn Flutter. I have some Java experience from college. How do I transition to Dart and what are the state management libraries I need to learn first?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"I want to learn about the history of art and architectural styles from the Renaissance to modern times. Can you write a structured syllabus with major movements, key artists, and suggested virtual museum tours?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,casual,v1
How do I get into Web3 development? I want to learn how to write smart contracts in Solidity and deploy them on the Ethereum network. What tools (like Hardhat and Ethers.js) should be in my learning roadmap?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"I want to learn how to write clean, modular, and maintainable CSS. I always end up with spaghetti code. Teach me about BEM methodology, CSS custom properties, and preprocessors like Sass. Where do I start?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I want to learn how to design and build databases that can handle millions of rows. How do I study indexing, partitioning, query optimization, and transaction isolation levels? Suggest a learning strategy.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"How do I start learning competitive programming? I want to participate in Codeforces rounds. What algorithms, data structures, and mathematical concepts do I need to master to solve Level B and C problems?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I want to learn how to write professional copy for email newsletters. I want to learn about open rates, click-through rates, call to actions, and subject line hook formulas. What should my study plan look like?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
I want to learn how to build chrome extensions from zero. I want to create a tool that highlights text and saves it to a local database. What are the key manifest V3 concepts and APIs I must study?,planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"How do I start learning discrete mathematics? I need it for my university algorithms class. Please suggest a structured plan covering set theory, combinatorics, proof by induction, and boolean algebra.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I want to learn how to create interactive data dashboards in Python. Teach me about Dash, Streamlit, and Plotly. What is the best sequence to learn these tools for someone who already knows basic Python?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"I want to learn about prompt engineering techniques like chain-of-thought, self-consistency, and skeleton-of-thought prompting. How do I systematically test and compare their effectiveness on complex reasoning tasks?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"How to learn product design? I want to understand how to conduct user research, create user personas, build wireframes, and run usability testing. Suggest a complete curriculum for self-study.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"I want to learn how to perform professional photo editing and color correction in Adobe Lightroom. Please explain the histogram, tone curve, HSL panel, and masking tools, and give me a learning guide.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,formal,v1
"I want to get into DevOps. I already know how to code in Python and have basic Linux skills. How do I start learning about cloud providers, containerization with Docker, and CI/CD pipelines with GitHub Actions?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,chatgpt,medium,0,formal,v1
"I want to learn about the physics of flight and aerodynamics. What are the core topics, math prerequisites, and introductory textbooks I should study to understand how aircraft lift and drag work?",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
"How do I learn how to build microservices? I want to understand API gateways, service discovery, container orchestration, and message queues like RabbitMQ for inter-service communication. Write a study plan.",planning,least-to-most,tree-of-thoughts,medium,standard,generated,gemini,medium,0,formal,v1
